100784444-01	作者序言 
100791445-29	目前以非营利组织的模式运营,

100791445-30	部分资金来源于美国政府以及各个民权组织,

100791445-31	全世界数百万网民得以借由它匿名且安心地上网浏览 

100791445-32	简单来说,

100791445-33	ƪƿǅ依靠对计算机操作多次加密,

100791445-34	通过多个网络节点选择路径,来隐藏计算机操作的来源,目的地和内容.

100791445-35	ƪƿǅ的用户是无法被追踪的,

100791445-36	使用ƪƿǅ隐匿服务的这些网站,论坛,博客也无法追踪,

100791445-37	它们使用的是同样的流量加密系统来隐藏定位.

100791445-38	也许"暗杀市场"在网络中某个不为人知的角落里被"供奉"着,

100791445-39	但如果你知道窍门,找到它也并非难事.

100791445-40	只需一个简单(而且免费)的软件包就行了.

100791445-41	之后进行注册,

100791445-42	按要求点击下一步,

100791445-43	然后等着就行了.

100791445-44	要想知道有多少人在参与这个网站的活动,几乎不太可能,

100791445-45	但在撰写此书的时候,如果我能准确预测前美国联邦储备系统主席本·伯南克的死亡日期,

100791445-46	大约能拿到五万六千美金的赌金.

100791445-47	看上去,这种赌注好像没有什么意义.

100791445-48	因为你很难猜测到某个特定人物的死亡日期,

100791445-49	所以"暗杀市场"发布了第五条指示:

100791445-50	预言成真,全在个人.

100791445-51	暗网

100791445-52	人们能在网上做些什么呢?

100791445-53	"暗杀市场"就是个极端的例子.

100791445-54	在众所周知的"谷歌,微软邮箱,亚马逊"的世界之外,潜伏着互联网的另一面——

100791445-55	暗网.

100791445-57	对一部分人来说,暗网就是ƪƿǅ隐藏服务搭建的加密网络世界,

100791445-58	无法追踪用户的行迹,用户的身份也无法识别.

100791445-59	对其他人来说,暗网就是传统搜索引擎搜索不到的网站,

100791445-60	包括:

100791445-61	密码受保护的网页,

100791445-62	不链接外部的网站,

100791445-63	只对"内部人"开放的隐藏内容,

100791445-64	有时也被称作"深层网络".

100791445-65	暗网,也泛指各类惊悚诡异,让人不适和极具争议的网络暗角,

100791445-66	是想象中的罪犯和各式各样的霸凌者的领地.

100791445-67	但对我而言,暗网不仅仅是上文提到的"特殊领域":

100791445-68	它是一个与我们日常所接触的网络若即若离的地下世界,

100791445-69	一个完全自由和匿名的世界.

100791445-70	在这里,用户可以随心所欲,畅所欲言,不受监管,不受社会规范的制约.

100791445-71	暗网之所以"阴暗",

100791445-72	是因为一般人很少看到它,

100791445-73	它十分隐蔽,

100791445-74	隐秘而又隐晦.

100791445-75	这并不是一本揭露ƪƿǅ的书籍,

100791445-76	相反,大部分章节介绍的是你所了解的网络:

100791445-77	社交媒体网站,

100791445-78	常规网页,

100791445-79	论坛,聊天室,等等.

100791445-80	但这本书着重介绍了一种在暗处恣意蔓延的文化与社区,

100791445-81	对于局外人来说,

100791445-82	这种社区文化十分黑暗且暗藏危机.

100791445-83	本书研究这些群体并不是因为他们的网络行为具有代表性,

100791445-84	而是因为他们是常常被误解又极少被了解的一群人.

100791445-85	暗网从来不缺热点话题,

100791445-86	这些内容包含了年轻人上传的自制低成本色情片,

100791445-87	网络霸凌,

100791445-88	陌生人之间的骂战,

100791445-89	"艳照门",

100791445-90	激进政客们的政治宣传,

100791445-91	违禁物品

100791445-92	机密文件等,

100791445-93	只要轻轻一点,就能送上头版头条,

100791445-94	这类事情几乎每天都在发生.

100791445-95	但总体来说,暗网仍然是一个未被探索且鲜有人理解的世界.

100791445-96	在现实世界中,也几乎没有人冒过这个险,深入网络世界的幽暗之处,

100791445-97	细致地摸索每个网站的边边角角.

100791445-98	二零零七年,

100791445-99	我开始研究激进的社会和政治活动,

100791445-100	花了两年半的时间研究欧洲和北美的伊斯兰极端分子,

100791445-101	试图建立起一个松散零落的现实世界的网络,

100791445-102	连接起这些认同基地组织极端分子意识形态的年轻人.

100791445-103	就在二零一零年这份工作将要画上句号的时候,

100791445-104	世界似乎变得不太一样了.

100791445-105	我眼前出现的每一种新兴的社会现象或政治现象,

100791445-106	阴谋论者,右翼分子也好,毒品文化也好,

100791445-107	它们都逐渐驻扎在网络上,

100791445-108	且活跃度日益上升.

100791445-109	我经常会针对同一个对象访问两次,一次线上对话,

100791445-110	一次线下面对面的交谈,

100791445-111	然而我却好像是在跟两个不同的人对话.

100791445-112	我在探索由不同规则,不同的行为方式,不同的主人公所组成的两个平行世界.

100791445-113	每次当我认为自己触碰到某种网络文化的边缘时,就会发现另外一个与之紧密相连而又未被发现的秘密领域.

100791445-114	有的网站需要掌握一些技术知识才能进入,

100791445-115	有的网站则毫无门槛,人人可用.

100791445-116	尽管这些网站对许多人的生活和身份信息变得越来越重要,

100791445-117	但它们大多数是"隐形"的:

100791445-118	一般人既查不到又看不着.

100791445-119	因此我决定主动出击,去寻找这些隐藏在网络世界的空间.

100791445-121	在这段搜寻的征程中,不管是在线上的网络世界还是线下的现实生活,我都找到了许多新的发现.

100791445-122	我曾在一个臭名昭著的网络引战群组里当群主;

100791445-123	费时数周卧底在一个专门讨论自残,绝食和自杀的论坛里;

100791445-124	在ƪƿǅ隐匿服务建造的迷宫世界里探寻毒品,

100791445-125	研究儿童色情图片网络;

100791445-126	还在知名社交网站上目睹新纳粹分子和反法西斯主义者之间的骂战;

100791445-127	注册成为最新的色情频道会员,

100791445-128	分析最近的自制色情录像的潮流是什么.

100791445-129	我拜访过巴塞罗那的一处闲置空房,

100791445-130	那里是支持无政府主义的比特币码农的秘密基地;

100791445-131	去过工人阶层聚集的俱乐部,与极端民族主义者们交谈;

100791445-133	还参观过三个女孩脏乱不堪的卧室,

100791445-134	观察她们如何在镜头前毫不隐晦地表演色情挑逗的动作,

100791445-135	然后从成千上万名观看者那里收取小笔的打赏金.

100791445-136	在探索和比较这些反差极大的世界时,我也想回答一个十分困难的问题:

100791445-137	"匿名"和"连接"这两个特性是否放飞了人性中的黑暗面呢?

100791445-138	如果真是这样,它又是如何操控的呢?

100791445-139	"暗网"这本书的目的不在于评判网络是否是双刃剑.

100791445-140	"匿名"的特性一方面让"暗杀市场"在网络世界留有一席之地,

100791445-141	另一方面也使得检举人和人权主义者们得以存活.

100791445-142	就我观察而言,网络中任何一种具有破坏性的亚文化都存在相对应的积极正面,

100791445-143	有建设性的亚文化.

100791445-144	由于网络已经与我们的日常生活紧密相连,

100791445-145	人们存有的对匿名,隐私,自由和审查制的概念也面临着挑战,

100791445-146	同时它还抛出了尚未解决的新问题:

100791445-147	人们是否有权在网络上实行完全匿名制?

100791445-148	我们的"网络身份"与"真实身份"有差异吗?

100791445-149	这些问题又说明什么呢?

100791445-151	当我们坐在电脑屏幕前,会倾向于表现出特定的样子吗?

100791445-152	在鼠标一键点击即可表达的世界里,

100791445-153	言论自由的界限又在哪里呢?

100791445-156	网络在社会中的角色定位引发了诸多争议和讨论,

100791445-157	而上述问题尤为集中.

100791445-158	随着人们的网络生活日益丰富,

100791445-159	这些问题的重要性也渐渐凸显.

100791445-160	我不会在书中提出任何简单的建议或主张,

100791445-161	我也不认为存在什么简单的解决方案.

100791445-162	这本书的内容并不激进,

100791445-163	相反,它会用更温和的方式,向读者呈现这些问题是如何滋生于社会边缘的.

100791445-164	至于它所代表的意义,

100791445-165	就交给读者自行判断吧.

100791445-167	连接

100791445-168	众所周知,

100791445-169	网络诞生于二十世纪六零年代晚期,

100791445-170	前身是由美军的研发机构"国防部高级研究计划局"出资运营的一项小型科研计划.美国国防部希望建立阿帕网来连接多台计算机,让美国顶尖学者们得以共享数据以及珍贵的计算机空间.

100791445-171	一九六九年,在加利福尼亚州首次实现两台计算机之间的网络连接,

100791445-172	但是网络的发展速度十分缓慢.

100791445-173	一九七三年七月,伦敦大学学院计算机科学系一位年轻的教授彼得·柯尔斯坦,

100791445-174	通过大西洋海底的电缆从英国连接上了阿帕网,

100791445-175	这一举动使得柯尔斯坦成为英国第一个连上网络的人.

100791445-176	"我完全不知道接下来会发生什么!

100791445-177	其他人也不知道!"

100791445-178	柯尔斯坦告诉我,

100791445-179	"我们这些科学家和学者,只是试着建立和维护一个可以简易并快速分享数据的系统.

100791445-180	"阿帕网,以及它后来的形式——互联网,

100791445-181	都是基于提高学者共同工作效率的原则而建立的:一个开放,分散,便于使用且免审查制的网络.

100791445-182	这些原则定义了互联网的内涵:

100791445-183	一个不限用户数量,信息和想法的无极限的世界.

100791445-184	一九七八年,

100791445-185	电子布告栏系统

100791445-186	(ƗƗƩ)诞生,

100791445-187	随之而来的是新闻网络系统

100791445-188	(ƫǆƵƾƵǇ)

100791445-189	于一九七九年至一九八零年间问世,

100791445-190	由此

100791445-191	网络生活进入了新的时代.

100791445-192	不同于已退出历史舞台的阿帕网,

100791445-193	ƫǆƵƾƵǇ和ƗƗƩ是聊天室和论坛的先驱,

100791445-194	只需一个调制解调器和一台家用电脑就能进入.

100791445-195	尽管以现在的眼光来看,它们又小,网速又慢,看着十分落伍,

100791445-196	然而在当时,

100791445-197	这些设备却吸引了成千上万对虚拟新世界感到好奇的人们.

100791445-198	直到二十世纪九零年代中期,

100791445-199	蒂姆·伯纳斯-李发明了万维网,

100791445-200	互联网的身份由此发生了翻天覆地的变化:

100791445-201	从电脑爱好者和学者经常光顾的小众地下聚集地,变身为数百万热情高涨的网络新人类可以进入的热门场所 .

100791445-202	根据英国开放大学公众科技认知的教授约翰·诺顿的看法,

100791445-203	这时的网络空间不仅仅是简单的计算机所组成的网络.

100791445-204	用户视之为一种拥有独特文化,独特身份和特定规则的"新型空间".

100791445-205	数百万普通人造访网络世界,让人恐慌又好奇,

100791445-206	这种新形式的交流方式会对人们产生何种影响.

100791445-207	许多科技乐观主义者,例如高呼网络革命的"连线"杂志和网络杂志"ƣƿƾƴƿ 二千",

100791445-208	认为

100791445-209	网络空间预示着学习与沟通的新纪元,

100791445-210	甚至可以超越国界.

100791445-211	针对这个观点最有名的著作,来自美国散文家及网络自由主义者

100791445-212	约翰·佩里·巴洛在一九九六年发表的

100791445-213	"网络空间独立宣言",

100791445-215	他提到:

100791445-216	"现实世界中对财产,言论,身份,社会活动及环境的法律定义,皆不适用于网络世界……

100791445-217	网络中的个人身份没有实体,

100791445-218	因此,与现实世界的公民不同,我们不以任何人身胁迫的方式制定社会秩序.

100791445-219	"巴洛认为,

100791445-220	网络表面上的无审查制和匿名性会推动建立一个更加自由和开放的社会,因为人们会抛弃现实世界固有身份的限制,在网络中创造出一个全新的自我.

100791445-221	当时顶尖的心理学家,针对网络生活如何让人们维系个人身份的不同侧面,展开了谨慎而又积极的方向探索,

100791445-222	例如谢里·特尔克在一九九五年发表的颇具影响力的关于网络身份的研究

100791445-223	"荧幕生活".

100791445-224	然而也有人担心,

100791445-225	如果"没有人知道你是一条狗",

100791445-226	那会发生什么.

100791445-227	父母忧心他们的孩子会染上"网络综合征".

100791445-228	就在特尔克的研究发表之后不久,

100791445-229	另外一位心理学家约翰·舒勒便开始进行早期聊天室的用户行为研究.

100791445-230	他发现,聊天室里的人们在网上比现实生活中更为强势激进而且更易怒.

100791445-231	他解释说,这是因为在电脑屏幕的庇护下,人们感觉网络世界里不存在什么社会约束和责任规范.

100791445-232	无论匿名性"真实地存在"还是"人们以为它存在",

100791445-233	都能促使用户探索自己的身份.

100791445-234	但同时,它也可能导致用户不计后果地任意妄为

100791445-235	(在二零零一年,舒勒将这种行为称为"网络去抑制效应").

100791445-236	情况确实如此,

100791445-237	从一开始,许多ƗƗƩ和ƫǆƵƾƵǇ订阅用户就视网络空间为集合了各式各样行为的领域,

100791445-238	不管是离奇的,有创意的行为,抑或是让人不爽的,非法的行为.在ƫǆƵƾƵǇ

100791445-239	"可替代"的分类中,任何人都能设立他们想要探索的话题讨论组.

100791445-240	第一个创立的讨论组是食谱论,

100791445-241	之后,"性爱组","毒品组","摇滚组"相继成立.

100791445-242	讨论组渐渐出名,立即成为ƫǆƵƾƵǇ里最受欢迎的功能.

100791445-243	除了目的性的明确,内容较为正式的讨论组,

100791445-244	例如文学,计算机,科学这些以外,

100791445-245	ƫǆƵƾƵǇ和ƗƗƩ里更多的是以网络霸凌,黑客以及色情影像为主题的讨论组.

100791445-247	不自由,毋宁死

100791445-248	就在众人开始飘飘然的时候,

100791445-249	极端自由主义者吉姆·贝尔首先提出网络匿名制的倡议,

100791445-250	并得出了让人毛骨悚然的结论.

100791445-251	在一九九二年年底,被称为"解密高手"的加利福尼亚州极端自由主义者们通过发送电子邮件名单的方式,宣扬并探讨如何利用网络空间保障个人自由,隐私和匿名性.

100791445-252	作为名单事件的始作俑者之一,

100791445-253	贝尔认为,如果公民可以利用网络发送隐秘的加密信息,

100791445-254	并使用无法追踪的货币来进行交易,就可以针对任何商品创造出正常运作的市场.

100791445-255	一九九五年,他在"暗杀政治"中详细阐述了自己的想法,并通过邮件的方式发送给了其他伙伴,

100791445-256	然而,即便是忠心耿耿的自由主义者们,对此也避之不及.

100791445-257	贝尔提出建立这样一个组织,让参与者针对某位公众人物匿名捐赠电子货币,

100791445-258	奖金池的捐款会累计成一份总奖金,

100791445-259	而之后能够准确预测该公众人物死亡日期的参与者,就可以获得这份奖金.

100791445-260	用贝尔的话来说,这不算违法犯罪,只是另一种形式的赌博.

100791445-261	但是,问题在于,

100791445-262	如果有足够多的人对某个特定人物心怀怨念——

100791445-263	每个人只需匿名投几块钱——

100791445-264	奖金池的金额多到一定程度,总会有人跃跃欲试,

100791445-265	加入到预测的队伍中来,

100791445-266	甚至亲自让预言成真,

100791445-267	从而把奖金一锅端.

100791445-268	加密信息和不可追踪的支付系统这时可以派上用场了.

100791445-269	一场群众策划且不可追踪的谋杀行动就此展开.

100791445-270	首先,这些蠢蠢欲动的刺客们会以加密形式发送预言,且只有发送者本人知道解开预言信息的数字密码.

100791445-271	若刺杀成功,将密码发给组织方,

100791445-272	组织方可以解锁他的预言结果.

100791445-273	只要被组织确认预测结果正确,

100791445-274	多半是通过新闻报道得知.

100791445-275	这份总奖金——由所有参与者捐赠的电子货币形式累计而成——

100791445-276	就会以加密文件的形式放到网上.

100791445-277	当然,只有做出准确预言的人才能制作打开文件的"密钥".

100791445-278	在参与者们无须知晓互相身份的情况下,

100791445-279	组织就可以核实预言是否准确,

100791445-280	并把奖金颁发给成功预言的玩家.

100791445-281	贝尔认为,整个过程中最值得称赞的一点是,互联网的匿名制保障了各方人士的利益,

100791445-282	除了刺客本人(以及刺杀对象).

100791445-284	即便警方得知有谁曾为暗杀行动的奖金池"添砖加瓦",

100791445-285	这些募捐者也可以如实交代,他们并没有直接要求采取刺杀行动.

100791445-286	另一边,运营暗杀市场的组织也无能为力,

100791445-287	他们既不知道募捐者是谁,

100791445-288	谁做出了预测行为,

100791445-289	也不知道是谁打开了含有高额奖金的加密文件.

100791445-290	但贝尔觉得,重点不在于逃脱法网的制裁,

100791445-291	而是这套机制能够利用民意的力量向候选代表们施压,促使他们有良好的政治表现.

100791445-292	民意代表们表现得越差,

100791445-293	越容易激怒选民,

100791445-294	暗杀奖金池里的金额也会越来越多,从而诱使潜在的刺客们开始行动

100791445-295	(贝尔认为,如果当时存在这样的暗杀市场,

100791445-296	斯大林,希特勒以及墨索里尼都会遇刺身亡).

100791445-297	理想状态下,没有人会遭到暗杀.

100791445-298	贝尔希望这类市场的存在,本身可以起到警示的作用——

100791445-299	不要轻易参与选战.

100791445-300	他提到:

100791445-301	"完全的网络匿名制,

100791445-302	彻底的保密性以及安全性,

100791445-303	再加上暗杀集资的过程便捷又安全,

100791445-304	政府公务员如果想滥用职权就得捂紧脑袋.

100791445-305	最有可能的是,市长级以上的大人物们在其位的每一分每一秒都非常煎熬.

100791445-306	一九九五年,贝尔完成他的著作"暗杀政治"时,一切都只是个假设.

100791445-307	尽管他深信暗杀市场最终会导致这世上的任何一个政府班子垮台,

100791445-308	但事实并非如他所想.

100791445-309	二零年后的今天,由于比特币等数字货币,

100791445-310	ƪƿǅ这类匿名浏览器

100791445-311	以及强加密系统的出现,

100791445-312	贝尔的预言成真了.

100791445-313	二零一三年夏天,网站"暗杀市场"成立.

100791445-314	创始人这样写道:

100791445-315	"大多数情况下,刺杀行为是错的……

100791445-316	然而在技术迭代的过程中,

100791445-317	这是大势所趋……

100791445-318	当有人利用法律威胁你,或是侵犯你的生命,自由,财产以及追求幸福的权利时,

100791445-319	现在你可以用一种安全的方式,舒服地躺在客厅里就能将对方置于死地.

100791445-320	目前,

100791445-321	网站"暗杀市场"至少列有六个人名.

100791445-322	尽管有些骇人听闻,

100791445-323	但据我所知,目前还没有人遇刺身亡.

100791445-324	"暗杀市场"的重要性,不在于它能否起到暗杀的作用,而是网站的存在,其本身就已经意义重大.

100791445-325	这种创造性和革命性构成了暗网最典型的特征:

100791445-326	没有限制,打破束缚,

100791445-327	可以不经审查自由发表观点,

100791445-328	对于任何事物的好奇心和欲望都能得到满足.

100791445-329	而这些,正是人性中最危险,

100791445-330	迷人且独特的侧面.

100955264-03	第一章　

100955264-04	揭开网络引战的面纱

100955264-05	在生命之树的顶端没有爱,

100955264-06	只有幸灾乐祸.

100955264-07	——匿名网友

100955264-08	一场生活的灾难

100955264-09	"嗨,Ʋ!"

100955264-11	萨拉半裸的身体上写着这样的小标语:

100955264-12	"二零一三年八月七日,晚上九点三十五分.

100955264-13	"这是向臭名昭著的讨论区/Ʋ/的几百名甚至上千名登录匿名用户传达的信息——

100955264-14	她要"直播"了.

100955264-15	对此十分热忱的用户们直言不讳地向萨拉提出各种色情要求,

100955264-16	萨拉会根据这些要求进行表演,拍照然后上传.

100955264-17	这个毫无下限的/Ʋ/区来自图片分享网站.

100955264-18	在该网站里,有针对不同主题的板块区,

100955264-19	像是漫画,ƚƟƯ,美食,政治和文学等等.

100955264-20	然而,每个月浏览该网站的这两千万人中,大多数是为/Ʋ/区(又称"灌水区")慕名而来.

100955264-21	在不断涌向/Ʋ/区的各种奇葩以及色情图像构成的信息网络里,

100955264-22	萨拉的照片只是不起眼的一角.

100955264-23	在这里,没有自我节制,

100955264-24	几乎每个人都是匿名发帖.

100955264-25	不过,它还是有一些松散的规则的,

100955264-26	这就是/Ʋ/区的用户们,或者说是/Ʋ/区的这些"流氓"们制定的"网络的四十七条规则",

100955264-27	包括:

100955264-28	规则一:

100955264-29	不要讨论

100955264-30	规则二:

100955264-31	不!

100955264-32	要!

100955264-33	讨论

100955264-34	规则八:

100955264-35	其实也没有什么发帖的规则

100955264-36	规则二十:认真你就输了

100955264-37	规则三十一:

100955264-38	要么露胸,要么滚,

100955264-39	选择全在你自己

100955264-40	规则三十六:

100955264-41	世上永远都有比你眼前看到的更操蛋的事

100955264-42	规则三十八:

100955264-43	这里没有适用的条条框框

100955264-44	你想上天也没人拦着

100955264-45	规则四十二:

100955264-46	在这里,没有什么是神圣不可侵犯的

100955264-47	/Ʋ/区的用户们为了博人气出位,在这个匿名而又不受审查的世界里创造了数量庞大的原创内容,

100955264-48	搞笑且没有下限.

100955264-49	你有没有点开过ƯƿǈƪǈƲƵ的链接却突然跳出里克·阿斯特利一九八七年的大热单曲

100955264-50	"对你永不抛弃"?

100955264-51	没错,那就是/Ʋ/区的杰作;

100955264-52	或是收到一些搞怪的猫的照片,

100955264-53	还夹带着各种拼写错误的文字?

100955264-54	这仍是/Ʋ/的搞怪;

100955264-55	叫"匿名者"的黑客组织?

100955264-56	不用我说了吧.

100955264-57	但是匿名也有不好的地方.

100955264-58	这里女性用户少得可怜,且习惯性地被人忽视和侮辱,

100955264-59	除非她们上传自己的照片,

100955264-60	或者像萨拉一样当个"女主播".

100955264-61	这些途径总是能让女性轻易获取/Ʋ/区"流氓"们的关注.

100955264-62	该网站有个关于视频的板块,

100955264-63	叫作/ǆƿƳ/,

100955264-64	用户可以在这儿好好打赏女主播.每天都有几十位女主播在/ǆƿƳ/上上线,

100955264-65	然后进行表演.

100955264-66	不过,偶尔还是会有些姑娘傻乎乎地误点进/Ʋ/区.

100955264-67	上传完第一张照片后,大约过了二十分钟,

100955264-68	有个评论说让萨拉在身上某个地方写下自己的名字,然后拍一张裸照.

100955264-69	不久,又有一个评论说,让她拿着她现在吃的任何一种药物,再拍一张裸照.

100955264-70	萨拉都照做了,

100955264-71	没想到却铸成大错.

100955264-72	匿名评论: 

100955264-73	希望不会有人人肉她,

100955264-74	她竟然跟着做了!

100955264-75	看着是个好姑娘啊!

100955264-76	匿名回复: 

100955264-77	我天,

100955264-78	冷静冷静,

100955264-79	她写了自己的名字,

100955264-80	医生的全名,甚至她住的小区的名字!

100955264-81	她是想上热搜吧!

100955264-83	匿名回复:

100955264-84	她是新来的吧,

100955264-85	摆出这种姿势还在身上写名字的,一看就是新人,

100955264-86	她们真不知道自己摊上事儿了.

100955264-87	萨拉神经大条地暴露了相当多的信息,

100955264-88	多到足够让那些看客去人肉搜索她到底是谁,

100955264-89	/Ʋ/区的"流氓"们对这种事十分敏锐,迅速地加入了这场闹剧.

100955264-90	在该网站,人肉女主播是一种罕有的乐趣.

100955264-91	没过多久,那些人就定位到了萨拉所在的大学地址,她的全名,住址以及电话.

100955264-92	接下来,他们搜到了萨拉的脸书和推特.

100955264-93	萨拉在电脑屏幕前,呆滞又无助地看着这一切发生.

100955264-94	匿名评论: 

100955264-95	别搜了!正经的!你们这些死宅!

100955264-96	匿名回复: 

100955264-97	萨拉,看到你还这么镇定我就放心了,

100955264-98	对了,别客气啊!

100955264-99	匿名回复: 

100955264-100	嘿……萨拉,

100955264-101	我能加你脸书好友吗?

100955264-102	开玩笑的,

100955264-103	快把那些照片删了吧,

100955264-104	别等发到你朋友手机里再后悔!

100955264-106	匿名评论: 

100955264-107	我在刷照片的时候,她把推特账号设为隐私了,

100955264-108	妈的!

100955264-109	匿名回复: 

100955264-110	她删了也无所谓.我正在统计她通讯录里的人,

100955264-111	还有她们的好友关系,

100955264-112	一会儿就发她裸照!

100955264-113	匿名回复: 

100955264-114	哈哈哈哈

100955264-115	她把脸书账号删了,不知道还能不能删除好友关系.

100955264-116	匿名回复: 

100955264-117	呃,

100955264-118	保存好她的名字.

100955264-119	只要这个事一过去,她肯定还用这个号,然后再被评论炸一次.

100955264-120	反正现在是不得安宁了,

100955264-121	她怎么好意思跟爸妈交代呢.

100955264-122	匿名评论: 

100955264-123	你们这群混蛋真去看她的脸书了?

100955264-124	真难以置信.

100955264-125	只是一个把照片传在这破网站的女孩子,就被你们这群傻子人肉了?

100955264-126	去你的吧!

100955264-128	匿名回复: 

100955264-129	楼上的白莲花快滚出去!

100955264-130	匿名回复: 

100955264-131	你们在这浪费了多少时间了?有什么可大惊小怪的?

100955264-132	匿名评论: 

100955264-133	上传裸照的人不应该被伤害.

100955264-134	匿名回复: 

100955264-135	哈哈哈

100955264-136	楼上是新来的吧?开不起玩笑啊!

100955264-137	匿名评论: 

100955264-138	我不想在这充好人,

100955264-139	然而已经是了.

100955264-140	就想知道为啥/Ʋ/区会干出这种事,

100955264-141	她就露了个胸,然后"我们"就这么对她?

100955264-142	真是网络暴力的最佳证明.

100955264-143	匿名回复: 

100955264-144	/Ʋ/区女主播节哀顺变.谢谢.

100955264-146	匿名回复: 

100955264-147	让我吃惊的是,

100955264-148	你们还在说"如果再人肉她就没什么主播可看了"这种话!

100955264-149	你们叨叨十年了吧!

100955264-151	匿名评论: 

100955264-152	总之,这是她所有脸书好友的名单,你们可以发给朋友以及朋友的朋友,

100955264-153	然后只要跟萨拉有一点点关系的朋友就都会知道了.

100955264-154	匿名回复: 

100955264-155	已经有人发给她朋友和家人了吗?

100955264-156	还是从我开始?

100955264-157	匿名回复: 

100955264-158	应该没人发吧.不排除有回复的人一边唱红脸,一边在旁边看着,

100955264-159	让你以为有人已经发了.

100955264-161	匿名回复: 

100955264-162	快发快发快发.

100955264-163	有人在脸书注册了小号,把萨拉的照片拼接成一张大图,发给了她的亲朋好友,附上这样的信息:

100955264-164	"你们认识萨拉吗?

100955264-165	这个可怜的小可爱做了不可告人的事儿哟.

100955264-166	这都是她发到网上的照片,

100955264-167	是‘任何人可见’的!"

100955264-168	仅仅几分钟内,萨拉社交账号里的每一位好友都收到了照片.

100955264-170	匿名网友: 

100955264-171	是她的电话,确认了,是真的.

100955264-172	匿名回复: 

100955264-173	刚刚给她打电话,她一直在哭,伤心得像是啜泣的鲸鱼.

100955264-175	匿名回复: 

100955264-176	有人一直在打(电话)吗?

100955264-178	板块/Ʋ/将其称为"生活灾难"——

